"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeDiscounts","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"547433769","725487706781","","PayerLineItem","6800000398659306111","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","ComputeSavingsPlans","Savings Plans for AWS Compute usage","Amazon Web Services, Inc.","ComputeSP:3yrNoUpfront","","2102253213","3 year No Upfront Compute Savings Plan","2020/08/09 16:24:25","2020/08/31 23:59:59","536","","USD","1608.000000","1463.28","0.0","0.000000","None","1463.280000"
"547433769","725487706781","","PayerLineItem","6800000398659306112","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","ComputeSavingsPlans","Savings Plans for AWS Compute usage","Amazon Web Services, Inc.","ComputeSP:3yrNoUpfront","","1682090049","3 year No Upfront Compute Savings Plan","2020/08/01 00:00:00","2020/08/31 23:59:59","744","","USD","2232.000000","2031.12","0.0","0.000000","None","2031.120000"
"547433769","725487706781","","PayerLineItem","6800000398659306113","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","BoxUsage:i3.2xlarge","RunInstances","24770113","Linux/UNIX (Amazon VPC), i3.large reserved instance applied","2020/08/01 00:00:00","2020/08/31 23:59:59","930.00000000","","USD","0.000000","0.00","0.0","0.000000","None","0.000000"
"547433769","725487706781","","PayerLineItem","6800000398659306114","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","APS1-BoxUsage:c3.xlarge","RunInstances","15759777","Linux/UNIX (Amazon VPC), c3.large reserved instance applied","2020/08/01 00:00:00","2020/08/31 23:59:59","2231.60888900","","USD","0.000000","0.00","0.0","0.000000","None","0.000000"
"547433769","725487706781","","PayerLineItem","6800000398659306115","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","USW1-BoxUsage:m5.large","RunInstances","228751038","Linux/UNIX (Amazon VPC), m5.large reserved instance applied","2020/08/01 00:00:00","2020/08/31 23:59:59","7440.00000000","","USD","0.000000","0.00","0.0","0.000000","None","0.000000"
"547433769","725487706781","","PayerLineItem","6800000398659306116","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","EUW2-BoxUsage:c5.xlarge","RunInstances","228781456","Linux/UNIX (Amazon VPC), c5.large reserved instance applied","2020/08/01 00:00:00","2020/08/31 23:59:59","3720.00000000","","USD","0.000000","0.00","0.0","0.000000","None","0.000000"
"547433769","725487706781","","PayerLineItem","6800000398659306117","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","BoxUsage:m3.xlarge","RunInstances","14464828","Linux/UNIX (Amazon VPC), m3.medium reserved instance applied","2020/08/01 00:00:00","2020/08/31 23:59:59","98.56444500","","USD","0.000000","0.00","0.0","0.000000","None","0.000000"
"547433769","725487706781","","PayerLineItem","6800000398659306118","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","BoxUsage:m5.large","RunInstances","219057336","Linux/UNIX (Amazon VPC), m5.large reserved instance applied","2020/08/01 00:00:00","2020/08/31 23:59:59","9214.65972400","","USD","0.000000","0.00","0.0","0.000000","None","0.000000"
"547433769","725487706781","","PayerLineItem","6800000398659306119","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","APS2-BoxUsage:m5.2xlarge","RunInstances","633993899","Linux/UNIX (Amazon VPC), m5.large reserved instance applied","2020/08/01 00:00:00","2020/08/31 23:59:59","2525.04715275","","USD","0.000000","0.00","0.0","0.000000","None","0.000000"
"547433769","725487706781","","PayerLineItem","6800000398659306120","2020/08/01 00:00:00","2020/08/31 23:59:59","2020/09/03 06:14:28","Prashant Kumar","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","BoxUsage:i3.xlarge","RunInstances","24507786","Linux/UNIX (Amazon VPC), i3.large reserved instance applied","2020/08/01 00:00:00","2020/08/31 23:59:59","372.00000000","","USD","0.000000","0.00","0.0","0.000000","None","0.000000"
